adate,Prov,Network,BTS,District,Total_Cell,Cell_down,Downtime_hour,Count_downtime,AVG_downhour,Issue,Type,Long,Latt
20230228,SVN,2G,SVN0230_ARKAI,KAISONE,3,0,0,0,0,,Cell,106.0854,16.5901
20230228,PSL,3G,PSL0039_CHAKHAMDENG,BOUNTAI,6,0,0,0,0,,Cell,101.783282,21.340445
20230228,LNT,4G,LNT0048_HOUANGJINGHOTEL,LOUANGNAMTHA,7,0,0,0,0,,Cell,101.670462,21.183677
20230228,VTP,2G,VTP0003_KM52_SATTELITE,Phonhong,3,0,0,0,0,,Cell,102.4431,18.3528
20230321,SVN,2G,SVN0006_BANXORK,Kaisone,3,0,0,0,0,,Cell,104.839035,16.541082
20230321,CHP,4G,CHP0106_LATASIN,PAKXONG,3,0,0,0,0,,Cell,106.523298,15.148627
20230228,XYL,2G,XYL0115_HUAYIHOUM,Kenthao,2,0,0,0,0,,Cell,101.4948,17.74586
20230228,VTP,2G,VTP0097_HUAYNGAIR,Vangvieng,2,0,0,0,0,,Cell,102.4416,18.9215
20230228,UDX,2G,UDX0028_KM8,XAY,3,0,0,0,0,,Cell,101.98488,20.63245
20230321,VTE,3G,VTE0400_DONGBANG2,Xaithani,6,0,0,0,0,,Cell,102.7382,18.12052
20230228,SVN,4G,SVN0132_KHEUMSAWANG,Songkhon,4,0,0,0,0,,Cell,105.114723,16.145067
20230228,VTE,3G,VTE0539_THASOMMOR,Xaithani,6,0,0,0,0,,Cell,102.654771,18.154601
20230228,SVN,4G,SVN0244_XELANONG,Phin,3,0,0,0,0,,Cell,106.23527,16.3601
20230228,SVN,2G,SVN0075_SOMSAAT,Kaisone,3,0,0,0,0,,Cell,104.91536,16.56389
20230228,BLK,2G,BLK0132_HINNGON,Viengthong,3,0,0,0,0,,Cell,104.484,18.4059
20230228,VTE,2G,VTE0692_MAKHIEW,Pak-Ngum,3,0,0,0,0,,Cell,102.918,17.9967
20230228,VTP,2G,VTP0162_PHONMEE,Viengkham,3,0,0,0,0,,Cell,102.4825,18.4776
20230321,XSB,3G,XSB0022_KIEWNONGPUN,Longxan,2,0,0,0,0,,Cell,102.96976,18.73381
20230228,SVN,2G,SVN0267_DONGMARKGNEO,XAIBOULY,3,0,0,0,0,,Cell,104.906,16.8132
20230228,VTE,2G,VTE0415_DONTIOU,Xaithani,3,0,0,0,0,,Cell,102.671,18.0782
20230228,VTE,3G,VTE0176_HORSAPHA,Xaisettha,6,0,0,0,0,,Cell,102.63464,17.97997
20230228,LPB,4G,LPB0190_DK56,Xiang-Ngeun,5,0,0,0,0,,Cell,102.19017,19.553
20230228,KHM,2G,KHM0133_MUANGKHAI,Hinboun,2,0,0,0,0,,Cell,104.39942,17.76952
20230228,CHP,3G,CHP0003_NAKOK,Pakxe,6,0,0,0,0,,Cell,105.7926,15.14988
20230228,BLK,4G,BLK0009_HANGXING,PAKSAN,3,0,0,0,0,,Cell,103.53159,18.43589
20230321,VTP,4G,VTP0211_NAKHOUM,Hinheup,3,0,0,0,0,,Cell,102.288038,18.686432
20230321,KHM,2G,KHM0114_NAPENG,BOUALAPHA,3,0,0,0,0,,Cell,105.66454,17.33033
20230321,XYL,3G,XYL0017_BANKM18,Xaiyabouly,6,0,0,0,0,,Cell,101.61325,19.17564
20230228,ATP,4G,ATP0035_SAKAE,Samakkhixai,7,0,0,0,0,,Cell,106.88,14.9458
20230321,VTE,3G,VTE0496_NUOL2,XAITHANY,6,0,0,0,0,,Cell,102.63621,18.03967
20230321,SVN,2G,SVN0208_NAHANGNOI,Atsaphon,3,0,0,0,0,,Cell,105.369133,16.87182
20230228,HUP,3G,HUP0070_HOUHLONG,Sopbao,6,0,0,0,0,,Cell,104.313415,20.749484
20230321,BLK,3G,BLK0150_MOUANGJAM,Xaichamphone,11,0,0,0,0,,Cell,104.832,18.6094
20230228,VTE,3G,VTE0330_DONGBONG2,Naxaythong,6,0,0,0,0,,Cell,102.594941,18.12715
20230321,XKH,4G,XKH0043_POUNGKANGVIENG,Pek,3,0,0,0,0,,Cell,103.283394,19.588299
20230228,BLK,2G,BLK0010_HONGXAI,Pakxan,3,0,0,0,0,,Cell,103.645,18.4045
20230228,SVN,3G,SVN0086_WATHOUAMEUANG,Kaisone,6,0,0,0,0,,Cell,104.747487,16.584015
20230228,LPB,4G,LPB0040_VANGNGUEN,Louangphrabang,10,0,0,0,0,,Cell,102.17619,19.88851
20230321,LNT,4G,LNT0068_NAKHAM,Sing,3,0,0,0,0,,Cell,101.179361,21.179427
20230321,BLK,3G,BLK0040_SIVILAI_NEUA,Pakxan,6,0,0,0,0,,Cell,103.666705,18.401153
20230228,CHP,2G,CHP0100_KM30,PAKXONG,3,0,0,0,0,,Cell,106.059,15.1691
20230321,VTE,4G,VTE0212_NONVAI,Xaisettha,38,0,0,0,0,,Cell,102.66767,17.95701
20230228,XYL,4G,XYL0074_NAMSONG,Paklai,5,0,0,0,0,,Cell,101.43657,18.26287
20230228,BOK,4G,BOK0047_BOXIANG4,Tonpheung,6,0,0,0,0,,Cell,100.099768,20.345987
20230321,VTE,3G,VTE0684_DONHAI,Pak-Ngum,6,0,0,0,0,,Cell,102.93019,18.0832
20230228,VTE,4G,VTE0693_MAKNAO_NEUA,Pak-Ngum,8,0,0,0,0,,Cell,102.958265,18.010148
20230228,VTP,3G,VTP0213_NAPHONG,Hinheup,9,0,0,0,0,,Cell,102.2242,18.5174
20230321,VTP,3G,VTP0215_NASUM,Hinheup,10,0,0,0,0,,Cell,102.2771,18.4908
20230228,VTE,3G,VTE0592_KM8_SOMVANG,Hatxayfong,6,0,0,0,0,,Cell,102.63592,17.90164
20230228,BLK,3G,BLK0033_PHOSY,Pakxan,6,0,0,0,0,,Cell,103.658071,18.39097
20230228,KHM,3G,KHM0208_PANAM,Boualapha,8,0,0,0,0,,Cell,105.844267,17.135375
20230228,XYL,3G,XYL0025_M_XAYSATHAN,Xaisathan,6,0,0,0,0,,Cell,101.35583,19.40833
20230228,SVN,2G,SVN0281_SYKHAI,Xaibouri,3,0,0,0,0,,Cell,104.938751,17.019604
20230228,UDX,4G,UDX0158_HUANA,NAMOR,6,0,0,0,0,,Cell,102.17276,20.67663
20230228,SVN,4G,SVN0242_OUDOMXAI,KAISONE,3,0,0,0,0,,Cell,105.89914,16.58115
20230321,VTP,3G,VTP0287_NAMOR,Muen,7,0,0,0,0,,Cell,101.9676,18.3337
20230321,LNT,2G,LNT0031_BANMAI,Louang-Namtha,3,0,0,0,0,,Cell,101.4223,20.93748
20230321,CHP,4G,CHP0242_KOKKONG,Soukhouma,3,0,0,0,0,,Cell,105.5797,14.544539
20230228,XYL,3G,XYL0023_KHOUNPHONE,Phiang,6,0,0,0,0,,Cell,101.53139,18.825
20230228,VTE,3G,VTE0398_DANXANG2,Xaithani,6,0,0,0,0,,Cell,102.66404,18.08219
