Prov,Network,name,District,size,longitude,latitude
SVN,2G,SVN0230_ARKAI,KAISONE,3,106.0854,16.5901
PSL,3G,PSL0039_CHAKHAMDENG,BOUNTAI,6,101.783282,21.340445
LNT,4G,LNT0048_HOUANGJINGHOTEL,LOUANGNAMTHA,7,101.670462,21.183677
VTP,2G,VTP0003_KM52_SATTELITE,Phonhong,3,102.4431,18.3528
SVN,2G,SVN0006_BANXORK,Kaisone,3,104.839035,16.541082
CHP,4G,CHP0106_LATASIN,PAKXONG,3,106.523298,15.148627
XYL,2G,XYL0115_HUAYIHOUM,Kenthao,2,101.4948,17.74586
VTP,2G,VTP0097_HUAYNGAIR,Vangvieng,2,102.4416,18.9215
UDX,2G,UDX0028_KM8,XAY,3,101.98488,20.63245
VTE,3G,VTE0400_DONGBANG2,Xaithani,6,102.7382,18.12052
SVN,4G,SVN0132_KHEUMSAWANG,Songkhon,4,105.114723,16.145067
VTE,3G,VTE0539_THASOMMOR,Xaithani,6,102.654771,18.154601
SVN,4G,SVN0244_XELANONG,Phin,3,106.23527,16.3601
SVN,2G,SVN0075_SOMSAAT,Kaisone,3,104.91536,16.56389
BLK,2G,BLK0132_HINNGON,Viengthong,3,104.484,18.4059
VTE,2G,VTE0692_MAKHIEW,Pak-Ngum,3,102.918,17.9967
VTP,2G,VTP0162_PHONMEE,Viengkham,3,102.4825,18.4776
XSB,3G,XSB0022_KIEWNONGPUN,Longxan,2,102.96976,18.73381
SVN,2G,SVN0267_DONGMARKGNEO,XAIBOULY,3,104.906,16.8132
VTE,2G,VTE0415_DONTIOU,Xaithani,3,102.671,18.0782
VTE,3G,VTE0176_HORSAPHA,Xaisettha,6,102.63464,17.97997
LPB,4G,LPB0190_DK56,Xiang-Ngeun,5,102.19017,19.553
KHM,2G,KHM0133_MUANGKHAI,Hinboun,2,104.39942,17.76952
CHP,3G,CHP0003_NAKOK,Pakxe,6,105.7926,15.14988
BLK,4G,BLK0009_HANGXING,PAKSAN,3,103.53159,18.43589
VTP,4G,VTP0211_NAKHOUM,Hinheup,3,102.288038,18.686432
KHM,2G,KHM0114_NAPENG,BOUALAPHA,3,105.66454,17.33033
XYL,3G,XYL0017_BANKM18,Xaiyabouly,6,101.61325,19.17564
ATP,4G,ATP0035_SAKAE,Samakkhixai,7,106.88,14.9458
VTE,3G,VTE0496_NUOL2,XAITHANY,6,102.63621,18.03967
SVN,2G,SVN0208_NAHANGNOI,Atsaphon,3,105.369133,16.87182
HUP,3G,HUP0070_HOUHLONG,Sopbao,6,104.313415,20.749484
BLK,3G,BLK0150_MOUANGJAM,Xaichamphone,11,104.832,18.6094
VTE,3G,VTE0330_DONGBONG2,Naxaythong,6,102.594941,18.12715
XKH,4G,XKH0043_POUNGKANGVIENG,Pek,3,103.283394,19.588299
BLK,2G,BLK0010_HONGXAI,Pakxan,3,103.645,18.4045
SVN,3G,SVN0086_WATHOUAMEUANG,Kaisone,6,104.747487,16.584015
LPB,4G,LPB0040_VANGNGUEN,Louangphrabang,10,102.17619,19.88851
LNT,4G,LNT0068_NAKHAM,Sing,3,101.179361,21.179427
BLK,3G,BLK0040_SIVILAI_NEUA,Pakxan,6,103.666705,18.401153
CHP,2G,CHP0100_KM30,PAKXONG,3,106.059,15.1691
VTE,4G,VTE0212_NONVAI,Xaisettha,38,102.66767,17.95701
XYL,4G,XYL0074_NAMSONG,Paklai,5,101.43657,18.26287
BOK,4G,BOK0047_BOXIANG4,Tonpheung,6,100.099768,20.345987
VTE,3G,VTE0684_DONHAI,Pak-Ngum,6,102.93019,18.0832
VTE,4G,VTE0693_MAKNAO_NEUA,Pak-Ngum,8,102.958265,18.010148
VTP,3G,VTP0213_NAPHONG,Hinheup,9,102.2242,18.5174
VTP,3G,VTP0215_NASUM,Hinheup,10,102.2771,18.4908
VTE,3G,VTE0592_KM8_SOMVANG,Hatxayfong,6,102.63592,17.90164
BLK,3G,BLK0033_PHOSY,Pakxan,6,103.658071,18.39097
KHM,3G,KHM0208_PANAM,Boualapha,8,105.844267,17.135375
XYL,3G,XYL0025_M_XAYSATHAN,Xaisathan,6,101.35583,19.40833
SVN,2G,SVN0281_SYKHAI,Xaibouri,3,104.938751,17.019604
UDX,4G,UDX0158_HUANA,NAMOR,6,102.17276,20.67663
SVN,4G,SVN0242_OUDOMXAI,KAISONE,3,105.89914,16.58115
VTP,3G,VTP0287_NAMOR,Muen,7,101.9676,18.3337
LNT,2G,LNT0031_BANMAI,Louang-Namtha,3,101.4223,20.93748
CHP,4G,CHP0242_KOKKONG,Soukhouma,3,105.5797,14.544539
XYL,3G,XYL0023_KHOUNPHONE,Phiang,6,101.53139,18.825
VTE,3G,VTE0398_DANXANG2,Xaithani,6,102.66404,18.08219
VTE,2G,VTE0536_TANMIXAI_RSU,XAITHANY,3,102.62923,18.03431
XKH,4G,XKH0005_BANDONG,Pek,6,103.275398,19.489379
XYL,4G,XYL0109_BANPHOUN,Kenthao,3,101.40801,17.737947
BLK,3G,BLK0098_BOUNGKOUANG_NEW,Pakkading,6,104.231602,17.98244
VTE,4G,VTE0634_THINPEER,Hatxayfong,9,102.65152,17.82763
CHP,3G,CHP0340_KM30_13S_ROAD,Pathoumphon,6,105.938,14.9381
KHM,3G,KHM0084_BORKEUADONGTAI,Xaibouathong,8,105.47087,17.1436
ATP,3G,ATP0085_SOMBOON_ZOON,Phouvong,6,107.269,14.7473
SVN,3G,SVN0229_ANUSANYA,Phin,4,105.84977,16.572838
KHM,3G,KHM0214_NAPHAO,Boualapha,6,105.762,17.6666
VTE,4G,VTE0526_SAPHANGKANONG2,Xaithani,5,102.736886,18.028138
XYL,2G,XYL0154_M_XIENGHORN,Xianghon,3,100.81402,19.62625
KHM,4G,KHM0211_BANKANG,Boualapha,3,105.081,17.4509
HUP,4G,HUP0048_HOUAPHOU,Hiem,6,103.155739,20.182265
LPB,3G,LPB0034_THONGCHALERN,Nan,6,101.8811,19.46009
LNT,3G,LNT0110_NATERY_RW_STATION,Louang-Namtha,10,101.646,21.0547
KHM,4G,KHM0018_CHUTSUN_KM4,Thakhek,9,104.8371554,17.4087865
LNT,2G,LNT0031_BANMAI,LOUANGNAMTHA,3,101.4223,20.93748
BLK,4G,BLK0057_DANNAMGNAN,Khamkeut,3,105.12,18.3411
